id;bpmProcessId;caseGroupId;caseTypeId;storeId;createDate;createdBy;modifyDate;modifiedBy;endDate;dueDate;status;parameter1;parameter2;parameter3;parameter4;parameter5;parameter6;parameter7;parameter8;parameter9;parameter10;parameter11;parameter12;parameter13;parameter14;parameter15
330;10230;7;2;2;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski4;Nowak1;null;null;null;null;null;null;null;null;null;null;null;null;null
331;10231;1;2;2;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski4;Nowak2;null;null;null;null;null;null;null;null;null;null;null;null;null
332;10232;1;6;4;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;5.01;null;null;null;null;null;null;null;null;null;null;null;null;null;null
333;10233;1;6;4;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;7.02;null;null;null;null;null;null;null;null;null;null;null;null;null;null
334;10234;1;6;4;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;12.3;null;null;null;null;null;null;null;null;null;null;null;null;null;null
335;10235;1;6;4;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;12.3;null;null;null;null;null;null;null;null;null;null;null;null;null;null
336;10236;1;1;1;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski;Nowak;OC;OC;null;null;null;null;null;null;null;null;null;null;null
337;10237;1;2;2;01-01-2014;2;13-02-2014;1;13-04-2014;12-06-2014;A;Kowalski2;Nowak2;NW;NW;null;null;null;null;null;null;null;null;null;null;null
338;10238;1;2;2;01-01-2014;1;13-02-2014;1;13-04-2014;12-06-2014;A;Kowalski3;Nowak3;OC;NW;null;null;null;null;null;null;null;null;null;null;null
339;10239;1;3;3;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski;null;null;null;null;null;null;null;null;null;null;null;null;null;null
340;10240;1;3;3;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski2;null;null;null;null;null;null;null;null;null;null;null;null;null;null
341;10241;1;3;3;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski3;null;null;null;null;null;null;null;null;null;null;null;null;null;null
342;10242;1;4;1;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski;Zam1;Zam21;null;null;null;null;null;null;null;null;null;null;null;null
343;10243;1;4;1;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski;Zam2;null;null;null;null;null;null;null;null;null;null;null;null;null
344;10244;2;4;1;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski;Zam3;null;null;null;null;null;null;null;null;null;null;null;null;null
345;10245;1;5;5;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Zam1;null;null;null;null;null;null;null;null;null;null;null;null;null;null
346;10246;1;5;5;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Zam2;null;null;null;null;null;null;null;null;null;null;null;null;null;null
347;10247;1;5;5;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Zam3;null;null;null;null;null;null;null;null;null;null;null;null;null;null
348;10248;7;2;2;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski4;Nowak1;null;null;null;null;null;null;null;null;null;null;null;null;null
349;10249;1;2;2;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski4;Nowak2;null;null;null;null;null;null;null;null;null;null;null;null;null
350;10250;1;6;4;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;5.01;null;null;null;null;null;null;null;null;null;null;null;null;null;null
351;10251;1;6;4;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;7.02;null;null;null;null;null;null;null;null;null;null;null;null;null;null
352;10252;1;6;4;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;12.3;null;null;null;null;null;null;null;null;null;null;null;null;null;null
353;10253;1;6;4;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;12.3;null;null;null;null;null;null;null;null;null;null;null;null;null;null
354;10254;1;1;1;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski;Nowak;OC;OC;null;null;null;null;null;null;null;null;null;null;null
355;10255;1;2;2;01-01-2014;2;13-02-2014;1;13-04-2014;12-06-2014;A;Kowalski2;Nowak2;NW;NW;null;null;null;null;null;null;null;null;null;null;null
356;10256;1;2;2;01-01-2014;1;13-02-2014;1;13-04-2014;12-06-2014;A;Kowalski3;Nowak3;OC;NW;null;null;null;null;null;null;null;null;null;null;null
357;10257;1;3;3;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski;null;null;null;null;null;null;null;null;null;null;null;null;null;null
358;10258;1;3;3;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski2;null;null;null;null;null;null;null;null;null;null;null;null;null;null
359;10259;1;3;3;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski3;null;null;null;null;null;null;null;null;null;null;null;null;null;null
360;10260;1;4;1;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski;Zam1;Zam21;null;null;null;null;null;null;null;null;null;null;null;null
361;10261;1;4;1;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski;Zam2;null;null;null;null;null;null;null;null;null;null;null;null;null
362;10262;2;4;1;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski;Zam3;null;null;null;null;null;null;null;null;null;null;null;null;null
363;10263;1;5;5;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Zam1;null;null;null;null;null;null;null;null;null;null;null;null;null;null
364;10264;1;5;5;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Zam2;null;null;null;null;null;null;null;null;null;null;null;null;null;null
365;10265;1;5;5;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Zam3;null;null;null;null;null;null;null;null;null;null;null;null;null;null
366;10266;7;2;2;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski4;Nowak1;null;null;null;null;null;null;null;null;null;null;null;null;null
367;10267;1;2;2;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski4;Nowak2;null;null;null;null;null;null;null;null;null;null;null;null;null
368;10268;1;6;4;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;5.01;null;null;null;null;null;null;null;null;null;null;null;null;null;null
369;10269;1;6;4;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;7.02;null;null;null;null;null;null;null;null;null;null;null;null;null;null
370;10270;1;6;4;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;12.3;null;null;null;null;null;null;null;null;null;null;null;null;null;null
371;10271;1;6;4;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;12.3;null;null;null;null;null;null;null;null;null;null;null;null;null;null
372;10272;1;1;1;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski;Nowak;OC;OC;null;null;null;null;null;null;null;null;null;null;null
373;10273;1;2;2;01-01-2014;2;13-02-2014;1;13-04-2014;12-06-2014;A;Kowalski2;Nowak2;NW;NW;null;null;null;null;null;null;null;null;null;null;null
374;10274;1;2;2;01-01-2014;1;13-02-2014;1;13-04-2014;12-06-2014;A;Kowalski3;Nowak3;OC;NW;null;null;null;null;null;null;null;null;null;null;null
375;10275;1;3;3;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski;null;null;null;null;null;null;null;null;null;null;null;null;null;null
376;10276;1;3;3;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski2;null;null;null;null;null;null;null;null;null;null;null;null;null;null
377;10277;1;3;3;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski3;null;null;null;null;null;null;null;null;null;null;null;null;null;null
378;10278;1;4;1;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski;Zam1;Zam21;null;null;null;null;null;null;null;null;null;null;null;null
379;10279;1;4;1;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski;Zam2;null;null;null;null;null;null;null;null;null;null;null;null;null
380;10280;2;4;1;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski;Zam3;null;null;null;null;null;null;null;null;null;null;null;null;null
381;10281;1;5;5;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Zam1;null;null;null;null;null;null;null;null;null;null;null;null;null;null
382;10282;1;5;5;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Zam2;null;null;null;null;null;null;null;null;null;null;null;null;null;null
383;10283;1;5;5;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Zam3;null;null;null;null;null;null;null;null;null;null;null;null;null;null
384;10284;7;2;2;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski4;Nowak1;null;null;null;null;null;null;null;null;null;null;null;null;null
385;10285;1;2;2;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski4;Nowak2;null;null;null;null;null;null;null;null;null;null;null;null;null
386;10286;1;6;4;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;5.01;null;null;null;null;null;null;null;null;null;null;null;null;null;null
387;10287;1;6;4;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;7.02;null;null;null;null;null;null;null;null;null;null;null;null;null;null
388;10288;1;6;4;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;12.3;null;null;null;null;null;null;null;null;null;null;null;null;null;null
389;10289;1;6;4;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;12.3;null;null;null;null;null;null;null;null;null;null;null;null;null;null
390;10290;1;1;1;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski;Nowak;OC;OC;null;null;null;null;null;null;null;null;null;null;null
391;10291;1;2;2;01-01-2014;2;13-02-2014;1;13-04-2014;12-06-2014;A;Kowalski2;Nowak2;NW;NW;null;null;null;null;null;null;null;null;null;null;null
392;10292;1;2;2;01-01-2014;1;13-02-2014;1;13-04-2014;12-06-2014;A;Kowalski3;Nowak3;OC;NW;null;null;null;null;null;null;null;null;null;null;null
393;10293;1;3;3;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski;null;null;null;null;null;null;null;null;null;null;null;null;null;null
394;10294;1;3;3;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski2;null;null;null;null;null;null;null;null;null;null;null;null;null;null
395;10295;1;3;3;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski3;null;null;null;null;null;null;null;null;null;null;null;null;null;null
396;10296;1;4;1;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski;Zam1;Zam21;null;null;null;null;null;null;null;null;null;null;null;null
397;10297;1;4;1;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski;Zam2;null;null;null;null;null;null;null;null;null;null;null;null;null
398;10298;2;4;1;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski;Zam3;null;null;null;null;null;null;null;null;null;null;null;null;null
399;10299;1;5;5;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Zam1;null;null;null;null;null;null;null;null;null;null;null;null;null;null
400;10300;1;5;5;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Zam2;null;null;null;null;null;null;null;null;null;null;null;null;null;null
401;10301;1;5;5;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Zam3;null;null;null;null;null;null;null;null;null;null;null;null;null;null
402;10302;7;2;2;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski4;Nowak1;null;null;null;null;null;null;null;null;null;null;null;null;null
403;10303;1;2;2;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski4;Nowak2;null;null;null;null;null;null;null;null;null;null;null;null;null
404;10304;1;6;4;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;5.01;null;null;null;null;null;null;null;null;null;null;null;null;null;null
405;10305;1;6;4;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;7.02;null;null;null;null;null;null;null;null;null;null;null;null;null;null
406;10306;1;6;4;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;12.3;null;null;null;null;null;null;null;null;null;null;null;null;null;null
407;10307;1;6;4;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;12.3;null;null;null;null;null;null;null;null;null;null;null;null;null;null
408;10308;1;1;1;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski;Nowak;OC;OC;null;null;null;null;null;null;null;null;null;null;null
409;10309;1;2;2;01-01-2014;2;13-02-2014;1;13-04-2014;12-06-2014;A;Kowalski2;Nowak2;NW;NW;null;null;null;null;null;null;null;null;null;null;null
410;10310;1;2;2;01-01-2014;1;13-02-2014;1;13-04-2014;12-06-2014;A;Kowalski3;Nowak3;OC;NW;null;null;null;null;null;null;null;null;null;null;null
411;10311;1;3;3;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski;null;null;null;null;null;null;null;null;null;null;null;null;null;null
412;10312;1;3;3;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski2;null;null;null;null;null;null;null;null;null;null;null;null;null;null
413;10313;1;3;3;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski3;null;null;null;null;null;null;null;null;null;null;null;null;null;null
414;10314;1;4;1;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski;Zam1;Zam21;null;null;null;null;null;null;null;null;null;null;null;null
415;10315;1;4;1;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski;Zam2;null;null;null;null;null;null;null;null;null;null;null;null;null
416;10316;2;4;1;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski;Zam3;null;null;null;null;null;null;null;null;null;null;null;null;null
417;10317;1;5;5;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Zam1;null;null;null;null;null;null;null;null;null;null;null;null;null;null
418;10318;1;5;5;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Zam2;null;null;null;null;null;null;null;null;null;null;null;null;null;null
419;10319;1;5;5;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Zam3;null;null;null;null;null;null;null;null;null;null;null;null;null;null
420;10320;7;2;2;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski4;Nowak1;null;null;null;null;null;null;null;null;null;null;null;null;null
421;10321;1;2;2;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski4;Nowak2;null;null;null;null;null;null;null;null;null;null;null;null;null
422;10322;1;6;4;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;5.01;null;null;null;null;null;null;null;null;null;null;null;null;null;null
423;10323;1;6;4;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;7.02;null;null;null;null;null;null;null;null;null;null;null;null;null;null
424;10324;1;6;4;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;12.3;null;null;null;null;null;null;null;null;null;null;null;null;null;null
425;10325;1;6;4;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;12.3;null;null;null;null;null;null;null;null;null;null;null;null;null;null
426;10326;1;1;1;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski;Nowak;OC;OC;null;null;null;null;null;null;null;null;null;null;null
427;10327;1;2;2;01-01-2014;2;13-02-2014;1;13-04-2014;12-06-2014;A;Kowalski2;Nowak2;NW;NW;null;null;null;null;null;null;null;null;null;null;null
428;10328;1;2;2;01-01-2014;1;13-02-2014;1;13-04-2014;12-06-2014;A;Kowalski3;Nowak3;OC;NW;null;null;null;null;null;null;null;null;null;null;null
429;10329;1;3;3;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski;null;null;null;null;null;null;null;null;null;null;null;null;null;null
430;10330;1;3;3;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski2;null;null;null;null;null;null;null;null;null;null;null;null;null;null
431;10331;1;3;3;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski3;null;null;null;null;null;null;null;null;null;null;null;null;null;null
432;10332;1;4;1;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski;Zam1;Zam21;null;null;null;null;null;null;null;null;null;null;null;null
433;10333;1;4;1;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski;Zam2;null;null;null;null;null;null;null;null;null;null;null;null;null
434;10334;2;4;1;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski;Zam3;null;null;null;null;null;null;null;null;null;null;null;null;null
435;10335;1;5;5;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Zam1;null;null;null;null;null;null;null;null;null;null;null;null;null;null
436;10336;1;5;5;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Zam2;null;null;null;null;null;null;null;null;null;null;null;null;null;null
437;10337;1;5;5;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Zam3;null;null;null;null;null;null;null;null;null;null;null;null;null;null
438;10338;7;2;2;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski4;Nowak1;null;null;null;null;null;null;null;null;null;null;null;null;null
439;10339;1;2;2;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski4;Nowak2;null;null;null;null;null;null;null;null;null;null;null;null;null
440;10340;1;6;4;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;5.01;null;null;null;null;null;null;null;null;null;null;null;null;null;null
441;10341;1;6;4;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;7.02;null;null;null;null;null;null;null;null;null;null;null;null;null;null
442;10342;1;6;4;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;12.3;null;null;null;null;null;null;null;null;null;null;null;null;null;null
443;10343;1;6;4;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;12.3;null;null;null;null;null;null;null;null;null;null;null;null;null;null
444;10344;1;1;1;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski;Nowak;OC;OC;null;null;null;null;null;null;null;null;null;null;null
445;10345;1;2;2;01-01-2014;2;13-02-2014;1;13-04-2014;12-06-2014;A;Kowalski2;Nowak2;NW;NW;null;null;null;null;null;null;null;null;null;null;null
446;10346;1;2;2;01-01-2014;1;13-02-2014;1;13-04-2014;12-06-2014;A;Kowalski3;Nowak3;OC;NW;null;null;null;null;null;null;null;null;null;null;null
447;10347;1;3;3;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski;null;null;null;null;null;null;null;null;null;null;null;null;null;null
448;10348;1;3;3;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski2;null;null;null;null;null;null;null;null;null;null;null;null;null;null
449;10349;1;3;3;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski3;null;null;null;null;null;null;null;null;null;null;null;null;null;null
450;10350;1;4;1;01-01-2014;1;13-02-2014;2;13-04-2014;12-06-2014;A;Kowalski;Zam1;Zam21;null;null;null;null;null;null;null;null;null;null;null;null
